2.5	-28	-80	-2.22E-02	-5.08E-03	-6.12E-03
3	-28	-80	-2.17E-02	-6.03E-03	-7.26E-03
3.5	-28	-80	-2.11E-02	-7.03E-03	-8.44E-03
4	-28	-80	-2.03E-02	-7.96E-03	-9.46E-03
4.5	-28	-80	-1.95E-02	-8.78E-03	-1.05E-02
5	-28	-80	-1.86E-02	-9.63E-03	-1.15E-02
5.5	-28	-80	-1.76E-02	-1.04E-02	-1.24E-02
6	-28	-80	-1.66E-02	-1.11E-02	-1.32E-02
6.5	-28	-80	-1.55E-02	-1.18E-02	-1.39E-02
7	-28	-80	-1.43E-02	-1.24E-02	-1.46E-02
7.5	-28	-80	-1.30E-02	-1.29E-02	-1.51E-02
-7.5	-26	-80	-1.51E-02	1.41E-02	1.94E-02
-7	-26	-80	-1.66E-02	1.35E-02	1.86E-02
-6.5	-26	-80	-1.81E-02	1.29E-02	1.78E-02
-6	-26	-80	-1.95E-02	1.22E-02	1.68E-02
-5.5	-26	-80	-2.07E-02	1.14E-02	1.57E-02
-5	-26	-80	-2.19E-02	1.05E-02	1.46E-02
-4.5	-26	-80	-2.31E-02	9.63E-03	1.34E-02
-4	-26	-80	-2.41E-02	8.71E-03	1.21E-02
-3.5	-26	-80	-2.49E-02	7.65E-03	1.07E-02
-3	-26	-80	-2.57E-02	6.64E-03	9.28E-03
-2.5	-26	-80	-2.64E-02	5.61E-03	7.80E-03
-2	-26	-80	-2.69E-02	4.51E-03	6.29E-03
-1.5	-26	-80	-2.74E-02	3.38E-03	4.75E-03
-1	-26	-80	-2.77E-02	2.28E-03	3.17E-03
-0.5	-26	-80	-2.78E-02	1.15E-03	1.59E-03
0	-26	-80	-2.79E-02	1.18E-19	1.67E-19
0.5	-26	-80	-2.78E-02	-1.15E-03	-1.59E-03
1	-26	-80	-2.77E-02	-2.28E-03	-3.17E-03
1.5	-26	-80	-2.74E-02	-3.38E-03	-4.75E-03
2	-26	-80	-2.69E-02	-4.51E-03	-6.29E-03
2.5	-26	-80	-2.64E-02	-5.61E-03	-7.80E-03
3	-26	-80	-2.57E-02	-6.64E-03	-9.28E-03
3.5	-26	-80	-2.49E-02	-7.65E-03	-1.07E-02
